,gdp,CityName,firstName,lastName
0,89705.23,GUANGDONG,Guadalupe,THOMPSON
1,89705.23,GUANGDONG,Rowena,ANDERSON
2,85869.76,JIANGSU,Jacob,MORRIS
3,85869.76,JIANGSU,Michael,MORGAN
4,72634.15,SHANDONG,Eleanore,JACKSON
5,72634.15,SHANDONG,Ethelyn,PEREZ
6,72634.15,SHANDONG,George,GOMEZ
7,72634.15,SHANDONG,Gretchen,MARTIN
8,72634.15,SHANDONG,Howard,COOK
9,72634.15,SHANDONG,Joseph,ROBERTS
10,72634.15,SHANDONG,Lee,ROGERS
11,72634.15,SHANDONG,Ottie,ROBINSON
12,72634.15,SHANDONG,Samantha,THOMAS
13,72634.15,SHANDONG,Selena,WALKER
14,72634.15,SHANDONG,Thomas,DIAZ
15,72634.15,SHANDONG,Tom,MORALES
